,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team,
2,17/07/2024,21:00,Liga MX,Apertura 2024 Regular Season,Wed,Home,W,1,0,América,1.1,1.6,54,,Guido Pizarro,04/04/2002,4-2-3-1,,Match Report,,20,6,19.4,1,0,0,2024,UANL,
3,20/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,W,3,0,Santos,2,0.8,60,,Guido Pizarro,4-2-3-1,4-2-3-1,,Match Report,,15,8,16.7,0,0,0,2024,UANL,
4,24/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,1,1,Guadalajara,1.7,1.3,50,,Guido Pizarro,04/04/2002,4-1-4-1,,Match Report,,13,4,16.6,0,0,1,2024,UANL,
5,01/09/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sun,Away,W,3,1,UNAM,1.4,1.5,45,,Guido Pizarro,4-2-3-1,05/04/2001,Oscar Mejia,Match Report,,8,2,25.7,0,1,1,2024,UANL,
6,13/09/2024,20:10,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,1,0,Atlético,0.9,0.4,36,,Guido Pizarro,4-2-3-1,4-2-3-1,Martín Molina,Match Report,,12,3,15.9,0,0,0,2024,UANL,
7,17/09/2024,21:00,Liga MX,Apertura 2024 Regular Season,Tue,Away,L,0,1,Querétaro,1.6,1.5,75,,Guido Pizarro,4-2-3-1,4-1-4-1,Fernando Guerrero,Match Report,,23,4,19.2,1,0,0,2024,UANL,
8,22/09/2024,19:10,Liga MX,Apertura 2024 Regular Season,Sun,Away,W,1,0,FC Juárez,1.9,0.3,56,,Guido Pizarro,4-2-3-1,4-2-3-1,Víctor Cáceres,Match Report,,17,5,17.9,0,0,0,2024,UANL,
9,27/09/2024,20:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,D,2,2,León,2.2,0.7,64,,Guido Pizarro,4-2-3-1,04/04/2002,Daniel Quintero,Match Report,,21,10,14.9,0,0,0,2024,UANL,
10,05/10/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,1,0,Puebla,0.7,0.6,61,,Nahuel Guzmán,4-2-3-1,05/03/2002,Vicente Arce,Match Report,,16,3,22.3,1,0,0,2024,UANL,
11,19/10/2024,21:10,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,2,4,Monterrey,2,1.7,56,,Guido Pizarro,4-2-3-1,04/04/2002,Oscar Mejia,Match Report,,17,7,19,1,1,1,2024,UANL,
12,22/10/2024,20:06,Liga MX,Apertura 2024 Regular Season,Tue,Away,L,0,2,Mazatlán,2.3,0.8,58,,Guido Pizarro,4-2-3-1,05/04/2001,César Arturo Ramos,Match Report,,32,6,19.9,1,0,0,2024,UANL,
0,05/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,W,2,1,Querétaro,2.1,0.8,62,9237,Christian Rivera,4-2-3-1,04/04/2002,,Match Report,,18,5,20.7,0,0,0,2024,Tijuana,
